image_path,clutter_level,label
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\livingroom\int751.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\restaurant\restaurante_37_13_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\img_0128.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\meeting_room\salle-reunion2.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\indoor_0281.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\concert_hall\c_matanzas_teatrosauto_1.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\ShelfTrack_Pantry.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\warehouse\warehouse_0139.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\restaurant\restaurante_05_07_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\winecellar\bodega_26_01_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\inside_subway\inside_subway_0354.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\auditorium\b_mobilier_amphitheatre_1_1__138.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\corridor\c14.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\pantry_png.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\poolinside\schwimmen03_g.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\movietheater\sala_de_cine.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\meeting_room\meeting_room.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\cdMC1177.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\img_0073.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bookstore\Librairie_22_20_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bedroom\int489.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\N364050.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\fp_closet_3.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\restaurant\bistro_09_23_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\movietheater\movietheater_google_0014.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\trainstation\train_station_37_19_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bowling\bowling_0015.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\kitchen066.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\subway\subway_0220.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\laundromat\laundromat1222.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\dsc01464.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\livingroom\salon30.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bar\bar_0089.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bakery\boulangerie_44_18_yahoo.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bar\bar_0038.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\shoeshop\zapateria.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\restaurant_kitchen\restaurant_kitchen_google_0063.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\warehouse\warehouse_0422.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\livingroom\indoor_0043.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\subway\subway_0097.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\classroom\236254301_fa02eae064.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\office\office18.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\museum\museo_32_13_flickr.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\corridor\IMG_9416.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\studiomusic\pic3.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\corridor\c4.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0482.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\dining_room\d10.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bakery\panaderia_27_16_yahoo.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0364.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hospitalroom\050622_13x.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\airport_inside\airport_inside_0597.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\pantry_15.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\livingroom\l13.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\subway\subway_0421.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\inside_subway\inside_subway_0314.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\computerroom\2632.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\despensa_12_09_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\subway\subway_0165.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\nursery\cmag0308_babyrooms01.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bedroom\int8.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0027.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bakery\panaderia_24_10_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\grocerystore\P3260270.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\airport_inside\airport_inside_0097.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\toystore\fotonuoven80_122.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\inside_subway\inside_subway_0215.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\inside_subway\metropolitana_54_11_flickr.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\inside_subway\inside_subway_0338.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\operating_room\surgery_room_16_10_altavista.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\office\emba_offices_before_move.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\operating_room\operating_room_03_07_altavista.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\church_inside\metropolitana_100_10_flickr.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bar\bar_0005.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\mall\mall27.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\winecellar\bodega_07_18_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hairsalon\salon_drei_big.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\office\int61.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hairsalon\salon65.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\livingroom\cdMC1230.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\laundromat\image_preview.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bar\bar_0568.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\dentaloffice\IMG_0130_jpg_450x450.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hairsalon\peluqueria45.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\jewelleryshop\store4_49_.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\deli\deli_49_18_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0276.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\restaurant\bistro_view_of_tables.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\artstudio\painters_studio_22_17_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hospitalroom\IMG_0036.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\laboratorywet\Wet_Chem_Lab.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\toystore\gs_toys_lg.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\airport_inside\airport_inside_0040.jpg,low,0
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0360.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\auditorium\658_1_457_1__14.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\casino\casino_0381.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\shoeshop\zapateria_23_21_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\trainstation\gare_163_18_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\pantry\Rattan_Natural_Bskts_Pantry.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\buffet\126829079_ec08a3996c.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\cdMC1122.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\laboratorywet\wet_lab_28_11_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bowling\bowling_0111.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\florist\florist_15_14_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bakery\boulangerie_04_12_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\bar\bar_0393.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\poolinside\acc_piscineint_grand.jpg,medium,1
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\hospitalroom\hospital_room_10.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\shoeshop\zapateria_09_11_flickr.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\kitchen226.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\meeting_room\visuel_salle_reunion.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\deli\deli_23_03_altavista.jpg,high,2
D:\University\SEM-V\Deep Learning\DL Project\Clutter_Image_Classification_Model_for_Smart_Homes\dataset\raw\indoorCVPR_09\Images\kitchen\int341.jpg,high,2
